customer_id,company_name,contact_name,email,phone,address,city,state,zip,country,segment,credit_limit,payment_terms,account_status,created_date,_ingested_at
CUST-000001,Williams LLC,Rebecca Valencia,jason31@deleon-henson.biz,+1-423-322-6025x634,73375 Hoover Well Apt. 303,Murphyland,WI,37086,US,RETAIL,5000,NET60,ACTIVE,2024-04-23,2026-04-30T04:36:50.726872
CUST-000002,"Hicks, Frazier and Anthony",Alexander Wiley,gregory40@carlson.com,(798)816-9340x60883,595 Jennifer Hills,Elizabethmouth,MO,91885,US,RETAIL,10000,NET30,ACTIVE,2023-11-03,2026-04-30T04:36:50.726872
CUST-000003,"Martinez, Fisher and Bentley",Stephanie Gilbert,richard04@clark-floyd.org,+1-757-377-3872x1489,433 Andrew Gardens,Carrland,NH,54822,US,ENTERPRISE,50000,NET15,ACTIVE,2026-03-22,2026-04-30T04:36:50.726872
CUST-000004,Higgins Group,David Douglas Jr.,osbornejeffery@holmes.com,927.488.9579x868,4348 Sims Harbor Suite 143,Matthewside,CO,18637,US,ENTERPRISE,25000,NET60,INACTIVE,2022-08-10,2026-04-30T04:36:50.726872
CUST-000005,Reyes and Sons,Amy Russell,nperry@price-carrillo.com,001-596-670-5466x88937,0656 Mary Crossroad Apt. 699,North Dawnberg,VI,61016,US,ENTERPRISE,250000,NET30,SUSPENDED,2022-11-14,2026-04-30T04:36:50.726872
CUST-000006,Green LLC,Gabriel Juarez,aramirez@conley-ruiz.net,4535100330,1937 Wang Expressway,Port Loriport,CT,76350,US,WHOLESALE,100000,NET60,ACTIVE,2021-07-17,2026-04-30T04:36:50.726872
CUST-000007,Johnston-Odonnell,Todd Gonzalez,curtisbarton@burke.com,(786)951-8506x716,2849 Marshall Views,Marcusbury,MP,11860,US,GOVERNMENT,50000,NET15,INACTIVE,2023-09-12,2026-04-30T04:36:50.726872
CUST-000008,Sanchez-Marshall,Jamie Johnson,hunter35@peterson-beard.com,+1-508-931-3678,0143 Holt Inlet Suite 788,Ronaldside,MA,46613,US,ECOMMERCE,10000,NET15,ACTIVE,2025-03-08,2026-04-30T04:36:50.726872
CUST-000009,Parker-Hall,Emily Newton,jamesrodgers@hardy-bray.net,+1-641-234-3524x082,427 Monique Ports,Taylormouth,MA,24665,US,WHOLESALE,5000,NET15,ACTIVE,2021-10-05,2026-04-30T04:36:50.726872
CUST-000010,Everett-Woods,Jennifer Jones,hernandezlisa@miller-wright.net,001-269-399-3867x74964,341 John Plaza,East Aaronmouth,UT,78333,US,ENTERPRISE,5000,NET60,SUSPENDED,2025-04-27,2026-04-30T04:36:50.726872
CUST-000011,Johnson-Roberts,Scott Jones,sandrafrench@lawrence.com,+1-632-942-1024,4648 Kim Rapid,South Jessicaview,AK,12471,US,ENTERPRISE,10000,COD,ACTIVE,2023-04-10,2026-04-30T04:36:50.726872
CUST-000012,"Huff, Johnston and Sampson",Miss Debra Williams PhD,cstone@white-richards.info,875-965-5125,680 Miller Glen Suite 168,Lake Mollymouth,MT,07605,US,GOVERNMENT,10000,NET15,ACTIVE,2022-12-02,2026-04-30T04:36:50.726872
CUST-000013,"Cox, Avila and Garrett",Christina Dunn,samuel71@dudley.com,001-424-980-8613x171,467 Sanchez Plaza Apt. 639,Port Chad,WI,54888,US,WHOLESALE,250000,PREPAID,SUSPENDED,2024-03-19,2026-04-30T04:36:50.726872
CUST-000014,"Adams, Smith and Barber",Lauren Keller,seanwashington@arnold-daniels.info,233-496-3605x76627,71870 Robert Shoal Apt. 174,Cindyfurt,SD,11028,US,ENTERPRISE,250000,PREPAID,ACTIVE,2024-02-13,2026-04-30T04:36:50.726872
CUST-000015,"Villarreal, James and Stewart",Olivia Brennan,williamsonjimmy@mccall.biz,617-724-0050,2386 George Common Suite 937,East Steven,KS,60737,US,ECOMMERCE,50000,NET15,ACTIVE,2023-07-01,2026-04-30T04:36:50.726872
CUST-000016,"Smith, Ballard and Santana",Brooke Alexander,vanessa46@wright.biz,213.969.5944x0640,95339 Byrd Stravenue Apt. 104,Johnsonstad,VA,17725,US,WHOLESALE,100000,COD,ACTIVE,2022-02-03,2026-04-30T04:36:50.726872
