employee_id,first_name,last_name,email,role,warehouse_id,shift,hire_date,hourly_rate,is_active,_ingested_at
EMP-00001,Dana,Davis,floresjose@villegas-wagner.com,Dock Supervisor,WH-WES-07,MORNING,2024-04-10,24.1,True,2026-04-30T04:36:50.726872
EMP-00002,Cynthia,Bryant,bbrown@johnson-watson.com,Shipping Clerk,WH-EAS-02,NIGHT,2025-10-03,36.5,True,2026-04-30T04:36:50.726872
EMP-00003,Richard,Anderson,jacobsullivan@reeves-russo.com,QA Inspector,WH-SOU-09,MORNING,2021-06-06,23.78,True,2026-04-30T04:36:50.726872
EMP-00004,Ronald,Chavez,rosariotyler@williams.net,Forklift Operator,WH-SOU-09,NIGHT,2025-08-11,28.12,True,2026-04-30T04:36:50.726872
EMP-00005,Yolanda,Newton,scottmiddleton@simpson-murphy.com,Picker,WH-EAS-06,NIGHT,2025-08-08,22.36,True,2026-04-30T04:36:50.726872
EMP-00006,Brianna,Hamilton,paultrujillo@turner.org,QA Inspector,WH-NOR-05,MORNING,2024-12-18,28.04,True,2026-04-30T04:36:50.726872
EMP-00007,Emily,Holden,shaun92@martin.com,QA Inspector,WH-NOR-05,AFTERNOON,2021-03-07,35.49,True,2026-04-30T04:36:50.726872
EMP-00008,Robert,Hardin,stewartjennifer@martin-mcfarland.info,Picker,WH-NOR-04,MORNING,2024-12-12,30.9,True,2026-04-30T04:36:50.726872
EMP-00009,Marie,Mcknight,wardmartin@lee.com,Forklift Operator,WH-CEN-10,NIGHT,2025-11-01,28.44,False,2026-04-30T04:36:50.726872
EMP-00010,Sean,Everett,charlesortega@evans.com,Packer,WH-EAS-03,MORNING,2025-07-26,32.53,False,2026-04-30T04:36:50.726872
EMP-00011,Marie,Curry,ogray@thomas.com,Receiving Clerk,WH-WES-07,AFTERNOON,2020-09-10,27.74,False,2026-04-30T04:36:50.726872
EMP-00012,George,Rice,elizabeth95@santiago.com,Forklift Operator,WH-CEN-08,NIGHT,2020-05-14,26.83,True,2026-04-30T04:36:50.726872
EMP-00013,Michael,Fields,jeremy06@davis.com,Dock Supervisor,WH-SOU-09,NIGHT,2023-02-21,30.76,True,2026-04-30T04:36:50.726872
EMP-00014,Rachel,Eaton,nandersen@cross.org,Warehouse Associate,WH-EAS-03,NIGHT,2026-02-21,26.45,True,2026-04-30T04:36:50.726872
EMP-00015,Gary,Pitts,ymitchell@hampton-white.net,Picker,WH-NOR-04,MORNING,2026-01-29,16.64,False,2026-04-30T04:36:50.726872
EMP-00016,Cheryl,Stewart,jonesnicole@barnett.net,Warehouse Associate,WH-CEN-08,NIGHT,2024-07-05,21.37,True,2026-04-30T04:36:50.726872
EMP-00017,Dennis,Douglas,mnguyen@quinn.com,Packer,WH-EAS-01,AFTERNOON,2022-06-18,20.41,True,2026-04-30T04:36:50.726872
EMP-00018,Destiny,Adams,wheeleranne@nelson.biz,Receiving Clerk,WH-NOR-05,NIGHT,2021-10-27,30.12,True,2026-04-30T04:36:50.726872
EMP-00019,Cynthia,Caldwell,adam92@griffin-ortega.com,Inventory Analyst,WH-CEN-08,MORNING,2024-02-27,23.86,True,2026-04-30T04:36:50.726872
EMP-00020,Melissa,Perez,arice@wallace.net,Receiving Clerk,WH-EAS-03,AFTERNOON,2021-08-26,27.24,True,2026-04-30T04:36:50.726872
EMP-00021,Michael,Lucas,tylersharon@delgado.info,Picker,WH-EAS-01,AFTERNOON,2021-06-08,23.61,True,2026-04-30T04:36:50.726872
EMP-00022,Wendy,Woods,hillmaria@perry-bean.com,Inventory Analyst,WH-CEN-10,AFTERNOON,2025-08-04,21.19,False,2026-04-30T04:36:50.726872
EMP-00023,Ricky,Powell,yparks@schmitt.com,Warehouse Associate,WH-NOR-04,NIGHT,2020-10-15,30.17,True,2026-04-30T04:36:50.726872
EMP-00024,Jennifer,Young,mackaaron@myers.com,Forklift Operator,WH-SOU-09,AFTERNOON,2024-03-08,34.04,True,2026-04-30T04:36:50.726872
EMP-00025,Nicholas,Torres,robert65@ellis.info,Picker,WH-NOR-05,NIGHT,2024-05-28,20.01,True,2026-04-30T04:36:50.726872
EMP-00026,Terri,Miller,morganryan@mendez-sparks.com,Forklift Operator,WH-EAS-06,AFTERNOON,2022-05-18,23.76,False,2026-04-30T04:36:50.726872
EMP-00027,John,Salazar,patricia62@collins.com,QA Inspector,WH-CEN-10,NIGHT,2023-11-19,33.48,True,2026-04-30T04:36:50.726872
EMP-00028,Mary,Monroe,jeffrey73@morris.com,Warehouse Associate,WH-CEN-08,NIGHT,2024-12-11,17.33,True,2026-04-30T04:36:50.726872
EMP-00029,Candace,Tapia,reidmarilyn@riley.org,Dock Supervisor,WH-CEN-08,NIGHT,2025-11-06,28.05,False,2026-04-30T04:36:50.726872
EMP-00030,Nicholas,Bell,mendozamichele@reynolds.biz,Inventory Analyst,WH-CEN-10,AFTERNOON,2025-06-18,30.21,True,2026-04-30T04:36:50.726872
EMP-00031,Brian,Hamilton,kbrown@adams.info,Dock Supervisor,WH-CEN-08,MORNING,2025-11-29,27.84,True,2026-04-30T04:36:50.726872
EMP-00032,Mary,Bowman,bramos@harris.biz,Inventory Analyst,WH-WES-07,NIGHT,2024-02-04,16.72,False,2026-04-30T04:36:50.726872
EMP-00033,Antonio,Conrad,jnunez@nelson-fisher.com,Shipping Clerk,WH-SOU-09,NIGHT,2021-08-04,36.44,True,2026-04-30T04:36:50.726872
EMP-00034,Edward,Roy,andrewcaldwell@weaver-collins.info,Dock Supervisor,WH-CEN-08,NIGHT,2024-03-04,21.41,True,2026-04-30T04:36:50.726872
EMP-00035,Melissa,Ryan,jonathanrobinson@howell-andersen.biz,Forklift Operator,WH-CEN-10,MORNING,2024-11-25,37.24,True,2026-04-30T04:36:50.726872
EMP-00036,Glenda,Davies,gdowns@mcmillan.com,QA Inspector,WH-CEN-10,AFTERNOON,2020-08-18,24.07,True,2026-04-30T04:36:50.726872
EMP-00037,Ashley,Alexander,jonathan59@smith-burnett.com,Warehouse Associate,WH-EAS-01,MORNING,2022-03-01,30.67,True,2026-04-30T04:36:50.726872
EMP-00038,Patrick,Hodge,jonesmark@hubbard-boyd.com,Forklift Operator,WH-NOR-04,NIGHT,2022-09-06,29.72,False,2026-04-30T04:36:50.726872
EMP-00039,Andrew,Moore,staceygoodwin@parker-lynch.com,Shipping Clerk,WH-EAS-03,AFTERNOON,2025-10-10,22.4,True,2026-04-30T04:36:50.726872
EMP-00040,John,Miller,brian42@patrick.org,Picker,WH-SOU-09,NIGHT,2023-10-19,23.45,True,2026-04-30T04:36:50.726872
EMP-00041,Danielle,Harrison,hogandavid@gallegos.com,Forklift Operator,WH-EAS-01,MORNING,2022-05-18,34.98,True,2026-04-30T04:36:50.726872
EMP-00042,Patrick,Carpenter,johnsonraven@williams.org,QA Inspector,WH-EAS-01,NIGHT,2022-07-21,19.02,True,2026-04-30T04:36:50.726872
EMP-00043,Brian,Reed,murphycassidy@jensen.info,QA Inspector,WH-CEN-08,MORNING,2025-02-01,35.14,True,2026-04-30T04:36:50.726872
EMP-00044,Anne,Davis,deangina@clarke-nichols.com,QA Inspector,WH-NOR-04,MORNING,2020-07-03,24.15,True,2026-04-30T04:36:50.726872
EMP-00045,Cindy,Anthony,dbernard@henderson.com,Picker,WH-EAS-06,NIGHT,2022-12-12,33.16,True,2026-04-30T04:36:50.726872
EMP-00046,Michelle,Patterson,ypitts@garcia.com,QA Inspector,WH-EAS-01,MORNING,2025-07-05,24.37,True,2026-04-30T04:36:50.726872
EMP-00047,Joshua,Waller,eoneal@hawkins.com,Warehouse Associate,WH-NOR-05,MORNING,2024-09-27,23.51,True,2026-04-30T04:36:50.726872
EMP-00048,Julie,Cooper,joshuagregory@dean-castillo.org,Forklift Operator,WH-CEN-08,AFTERNOON,2026-04-19,20.06,True,2026-04-30T04:36:50.726872
EMP-00049,Marcus,Washington,yolanda03@gonzalez.com,Packer,WH-EAS-06,AFTERNOON,2024-09-30,24.37,True,2026-04-30T04:36:50.726872
EMP-00050,Michelle,Davis,bridget96@mejia.com,Inventory Analyst,WH-CEN-08,NIGHT,2025-07-09,36.21,True,2026-04-30T04:36:50.726872
EMP-00051,Kevin,Spears,gbaker@nelson.net,Shipping Clerk,WH-EAS-06,AFTERNOON,2022-02-16,23.82,True,2026-04-30T04:36:50.726872
EMP-00052,Howard,Cox,millerderek@hall-baker.org,Inventory Analyst,WH-EAS-06,MORNING,2021-06-18,35.66,True,2026-04-30T04:36:50.726872
EMP-00053,Tonya,Ramos,eterry@schmidt.com,Receiving Clerk,WH-WES-07,MORNING,2026-02-06,28.61,True,2026-04-30T04:36:50.726872
EMP-00054,Gabriel,Hunter,christinapaul@wood.net,Warehouse Associate,WH-EAS-02,AFTERNOON,2021-11-14,27.55,True,2026-04-30T04:36:50.726872
EMP-00055,Christopher,Mills,wilsonlawrence@woods-guzman.com,Shipping Clerk,WH-EAS-02,NIGHT,2026-01-16,21.32,True,2026-04-30T04:36:50.726872
