order_id,customer_id,warehouse_id,order_date,required_date,status,priority,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,notes,total_lines,order_value,created_by,_ingested_at
ORD-00000001,CUST-000479,WH-WES-07,2024-05-19,2024-06-03,DELIVERED,STANDARD,568 Montgomery Rapid Apt. 019,East Jacob,WY,41937,,3,36901.31,EMP-00198,2026-04-30T04:36:50.726872
ORD-00000002,CUST-000262,WH-CEN-10,2024-08-10,2024-08-24,PICKING,STANDARD,41575 Neal Drive Suite 686,Lake Lisafort,NV,95951,,1,520.74,EMP-00011,2026-04-30T04:36:50.726872
ORD-00000003,CUST-000158,WH-NOR-04,2026-02-11,2026-02-26,PACKED,EXPEDITED,33569 Conway Brooks,New Josephmouth,NV,52109,,1,4064.12,EMP-00015,2026-04-30T04:36:50.726872
ORD-00000004,CUST-000065,WH-NOR-04,2025-02-16,2025-03-10,DELIVERED,ECONOMY,2950 Campbell Bridge,North Amanda,CA,83904,,2,15808.7,EMP-00119,2026-04-30T04:36:50.726872
ORD-00000005,CUST-000398,WH-NOR-05,2025-09-16,2025-09-22,DELIVERED,STANDARD,26523 Walters Meadow Suite 546,East Lorettaton,IN,71495,,3,46447.0,EMP-00052,2026-04-30T04:36:50.726872
ORD-00000006,CUST-000390,WH-CEN-08,2024-12-02,2024-12-18,DELIVERED,STANDARD,2644 Charles Rapids Apt. 891,Erinmouth,IL,45019,,3,29977.38,EMP-00034,2026-04-30T04:36:50.726872
ORD-00000007,CUST-000273,WH-EAS-03,2026-03-10,2026-04-06,DELIVERED,STANDARD,56286 Tyler Pass Apt. 384,Popeland,IA,97359,,3,92983.98,EMP-00060,2026-04-30T04:36:50.726872
ORD-00000008,CUST-000368,WH-NOR-04,2025-12-13,2025-12-22,SHIPPED,STANDARD,74918 Smith Square Apt. 405,Kaylachester,VT,46549,,4,110817.98,EMP-00051,2026-04-30T04:36:50.726872
ORD-00000009,CUST-000324,WH-EAS-02,2024-06-28,2024-07-25,DELIVERED,ECONOMY,69061 Claudia Tunnel,Kelseymouth,IL,84279,,5,65825.93,EMP-00123,2026-04-30T04:36:50.726872
ORD-00000010,CUST-000293,WH-WES-07,2025-04-05,2025-05-01,DELIVERED,URGENT,3031 Nichols Lane,Jeremyview,KY,99912,,2,20032.58,EMP-00095,2026-04-30T04:36:50.726872
ORD-00000011,CUST-000341,WH-CEN-08,2024-08-06,2024-08-15,DELIVERED,STANDARD,540 Breanna Expressway,North Bailey,AR,62389,,4,59523.38,EMP-00135,2026-04-30T04:36:50.726872
ORD-00000012,CUST-000110,WH-SOU-09,2025-07-08,2025-07-11,DELIVERED,STANDARD,05390 John Groves Apt. 292,Thomasmouth,TX,48251,Religious vote right him challenge measure.,3,58108.97,EMP-00131,2026-04-30T04:36:50.726872
ORD-00000013,CUST-000388,WH-EAS-06,2025-08-13,2025-09-08,SHIPPED,EXPEDITED,6578 Mary Valleys Apt. 939,Jaredtown,OR,89897,,3,16050.54,EMP-00172,2026-04-30T04:36:50.726872
ORD-00000014,CUST-000207,WH-EAS-01,2025-01-26,2025-02-25,DELIVERED,STANDARD,885 Payne Pines,Port Nicole,PR,02483,,1,18821.76,EMP-00174,2026-04-30T04:36:50.726872
ORD-00000015,CUST-000220,WH-SOU-09,2025-10-08,2025-10-14,PICKING,STANDARD,2839 Stone Bridge Apt. 898,Cervantesshire,PR,89684,,3,85264.91,EMP-00103,2026-04-30T04:36:50.726872
