supplier_id,company_name,contact_name,email,phone,address,city,country,payment_terms,lead_time_days,reliability_score,is_preferred,since_date,_ingested_at
SUP-0001,Mitchell-Morris,Laura Ramirez,kellymartinez@stevenson.com,+1-933-706-5335x359,628 Jessica Crest,Hendrickshaven,US,NET45,50,88.4,False,2022-06-30,2026-04-30T04:36:50.726872
SUP-0002,"Burns, Soto and Chen",Shannon Thomas,djoyce@wright-chapman.info,939.783.6660x979,04450 Padilla Rapid Suite 290,North Sarahbury,CA,NET30,26,62.9,False,2024-05-15,2026-04-30T04:36:50.726872
SUP-0003,Norris and Sons,Charles Black,keith30@howell-lambert.com,(371)917-7539x87245,840 Murphy Island,Lake Andrea,KR,COD,49,71.9,False,2018-05-06,2026-04-30T04:36:50.726872
SUP-0004,Gonzalez-Myers,Karen Kim,monicadougherty@hammond.com,(313)706-9672x128,387 Maria Falls Suite 853,Carrollside,IN,NET45,82,62.5,False,2024-11-19,2026-04-30T04:36:50.726872
SUP-0005,Rodriguez Ltd,Emily Walker,mendozaaaron@barker-knight.net,(883)906-8483x681,86656 Sarah Mountains,Watsonstad,CA,NET60,16,94.3,False,2023-02-15,2026-04-30T04:36:50.726872
SUP-0006,Cole-Sanchez,Rachel Roberts,floresjulie@caldwell.com,(704)702-5898x810,35784 Mueller Roads Apt. 080,West Shelly,CN,NET60,72,86.7,True,2018-06-20,2026-04-30T04:36:50.726872
SUP-0007,Miller-Brown,Travis Farmer,darylgray@lambert.com,655-966-1340,00458 Johnson Row Apt. 270,Sawyershire,DE,NET45,11,92.7,False,2023-08-17,2026-04-30T04:36:50.726872
SUP-0008,"Johnson, Curtis and Collins",Loretta Rivera,jocelyn80@perez.com,(547)522-4558x1708,42449 Morales Gateway Apt. 004,Jasonside,US,NET30,79,81.7,True,2018-06-25,2026-04-30T04:36:50.726872
SUP-0009,Miles-Salas,Sharon Stephens,ksimpson@garcia-smith.org,(317)809-9873x1709,813 Jerry Road Suite 691,New Cody,US,COD,1,96.3,True,2018-10-16,2026-04-30T04:36:50.726872
SUP-0010,James LLC,Jason Cowan,scott12@robinson-rodriguez.info,(698)776-2295x7947,098 Wilson Fort,North Katherine,US,COD,63,94.0,True,2024-11-28,2026-04-30T04:36:50.726872
SUP-0011,Davis-Coleman,Carrie Pace,bakerrebekah@west-mosley.com,7444152644,945 Miller Spring Apt. 378,West Brookefort,US,NET30,62,78.2,True,2021-12-21,2026-04-30T04:36:50.726872
